,Predictable end sentence,Unpredictable end sentence,Taget word,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
0,Les deux étudiants se sont rencontrés et sont rapidement tombés amoureux.,Les deux voisins se sont croisés et ont compris qu'ils étaient amoureux.,amoureux,62,"19, except ['rapidement'], check the cv for: {'les': 1, 'étudiants': 4, 'sont': 1, 'rencontrés': 4, 'tombés': 2, 'amoureux': 3}",11,60,"21, except [""qu'ils""], check the cv for: {'les': 1, 'voisins': 3, 'sont': 1, 'croisés': 4, 'ont': 1, 'compris': 3, 'étaient': 2, 'amoureux': 3}",12,2,-1,"le   d2   e-ty-d-j@   s2   s§   R@-k§-t-Re   e   s§   t§-be   a-mu-R2   ,except ['rapidement'], check the phon for: {'les': 'le', 'étudiants': 'etydj@', 'sont': 's§', 'rencontrés': 'R@k§tRe', 'tombés': 't§be', 'amoureux': 'amuR2'}","le   d2   v-wa-z5   s2   s§   k-R-wa-ze   e   §   k§-p-Ri   e-tE   a-mu-R2   ,except [""qu'ils""], check the phon for: {'les': 'le', 'voisins': 'vwaz5', 'sont': 's§', 'croisés': 'kRwaze', 'ont': '§', 'compris': 'k§pRi', 'étaient': 'etE', 'amoureux': 'amuR2'}"
1,"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Le lundi matin, Léa croise toujours cette femme et son chien.",chien,58,"24, check the cv for: {'les': 1, 'ensoleillés': 4, 'pour': 2, 'son': 1}",12,49,"20, except ['léa'], check the cv for: {'le': 1, 'son': 1}",11,9,1,"le   Zu-R   @-so-lE-je   Za-k   s2   R@   o   pa-R-k   pu-R   p-RO-m-ne   s§   S-j5   ,check the cv for: {'les': 'le', 'ensoleillés': '@solEje', 'pour': 'puR', 'son': 's§'}","l2   l1-di   ma-t5   k-R-wa-z   tu-Zu-R   sE-t   fa-m   e   s§   S-j5   ,except ['léa'], check the phon for: {'le': 'l2', 'son': 's§'}"
2,Faites attention à ne pas toucher la poêle quand elle est chaude.,Attendons-nous à ce que l'assiette soit plus chaude.,chaude,53,"21, check the cv for: {'faites': 2, 'attention': 4, 'pas': 1, 'toucher': 2, 'la': 1, 'poêle': 3, 'quand': 1, 'est': 1, 'chaude': 2}",12,44,"13, except [""l'assiette""], check the cv for: {'ce': 1, 'que': 1, 'soit': 2, 'plus': 2, 'chaude': 2}",9,9,3,"fE-t   a-t@-s-j§   a   n2   pa   tu-Se   la   p-wa-l   k@   E-l   e   So-d   ,check the cv for: {'faites': 'fEt', 'attention': 'at@sj§', 'pas': 'pa', 'toucher': 'tuSe', 'la': 'la', 'poêle': 'pwal', 'quand': 'k@', 'est': 'e', 'chaude': 'Sod'}","a-t@-d§   nu   a   s2   k2   s-wa   p-ly   So-d   ,except [""l'assiette""], check the phon for: {'ce': 's2', 'que': 'k2', 'soit': 'swa', 'plus': 'ply', 'chaude': 'Sod'}"
3,Briser un miroir vous causera des années de malheur.,Écouter Ines vous donnera l'habitude du malheur.,malheur,43,"16, except ['causera'], check the cv for: {'un': 1, 'de': 1}",9,41,"8, except ['ines', 'donnera', ""l'habitude""], check the cv for: {}",7,2,2,"b-Ri-ze   1   mi-R-wa-R   vu   de   a-ne   d2   ma-l9-R   ,except ['causera'], check the phon for: {'un': '1', 'de': 'd2'}","e-ku-te   vu   dy   ma-l9-R   ,except ['ines', 'donnera', ""l'habitude""], check the phon for: {}"
4,Émilie l’avait détesté dès le moment où ils s'étaient rencontrés.,Les collègues ne s'attendent pas à revenir là où ils se sont rencontrés.,rencontrés,55,"15, except ['émilie', 'l’avait', ""s'étaient""], check the cv for: {'détesté': 4, 'le': 1, 'où': 1, 'rencontrés': 4}",10,59,"17, except [""s'attendent"", 'revenir'], check the cv for: {'les': 1, 'pas': 1, 'là': 1, 'où': 1, 'sont': 1, 'rencontrés': 4}",13,-4,-3,"de-tE-s-te   dE   l2   mo-m@   u   i-l   R@-k§-t-Re   ,except ['émilie', 'l’avait', ""s'étaient""], check the phon for: {'détesté': 'detEste', 'le': 'l2', 'où': 'u', 'rencontrés': 'R@k§tRe'}","le   ko-lE-g   n2   pa   a   la   u   i-l   s2   s§   R@-k§-t-Re   ,except [""s'attendent"", 'revenir'], check the phon for: {'les': 'le', 'pas': 'pa', 'là': 'la', 'où': 'u', 'sont': 's§', 'rencontrés': 'R@k§tRe'}"
5,Les faux jumeaux étaient aussi différents que le jour et la nuit.,Les jeunes femmes avaient toujours aimé se balader pendant la nuit.,nuit,53,"19, check the cv for: {'les': 1, 'faux': 1, 'étaient': 2, 'différents': 3, 'que': 1, 'le': 1, 'la': 1, 'nuit': 2}",12,56,"21, check the cv for: {'les': 1, 'jeunes': 2, 'avaient': 2, 'aimé': 2, 'pendant': 2, 'la': 1, 'nuit': 2}",11,-3,1,"le   fo   Zy-mo   e-tE   o-si   di-fe-R@   k2   l2   Zu-R   e   la   n-8i   ,check the cv for: {'les': 'le', 'faux': 'fo', 'étaient': 'etE', 'différents': 'difeR@', 'que': 'k2', 'le': 'l2', 'la': 'la', 'nuit': 'n8i'}","le   Z9-n   fa-m   a-vE   tu-Zu-R   e-me   s2   ba-la-de   p@-d@   la   n-8i   ,check the cv for: {'les': 'le', 'jeunes': 'Z9n', 'avaient': 'avE', 'aimé': 'eme', 'pendant': 'p@d@', 'la': 'la', 'nuit': 'n8i'}"
6,La petite fille était excitée de perdre sa première dent.,Le vieil homme s'inquiétait de perdre une nouvelle dent.,dent,47,"21, except ['petite'], check the cv for: {'la': 1, 'était': 2, 'excitée': 4, 'de': 1, 'sa': 1, 'première': 5}",10,47,"17, except [""s'inquiétait""], check the cv for: {'le': 1, 'de': 1, 'une': 2, 'nouvelle': 3}",9,0,1,"la   fi-j   e-tE   E-k-si-te   d2   pE-R-d-R   sa   p-R2-m-jE-R   d@   ,except ['petite'], check the phon for: {'la': 'la', 'était': 'etE', 'excitée': 'Eksite', 'de': 'd2', 'sa': 'sa', 'première': 'pR2mjER'}","l2   v-jE-j   O-m   d2   pE-R-d-R   y-n   nu-vE-l   d@   ,except [""s'inquiétait""], check the phon for: {'le': 'l2', 'de': 'd2', 'une': 'yn', 'nouvelle': 'nuvEl'}"
7,"Si certains couteaux étaient tranchants, d'autres étaient très émoussés.","Si cette montagne restait très visitée, ses rochers étaient très émoussés.",émoussés,62,"21, check the cv for: {'si': 1, 'certains': 3, 'étaient': 2, 'tranchants': 3, ""d'autres"": 3, 'émoussés': 3}",9,62,"24, check the cv for: {'si': 1, 'ses': 1, 'étaient': 2, 'émoussés': 3}",11,0,-2,"si   sE-R-t5   ku-to   e-tE   t-R@-S@   do-t-R   e-tE   t-RE   e-mu-se   ,check the cv for: {'si': 'si', 'certains': 'sERt5', 'étaient': 'etE', 'tranchants': 'tR@S@', ""d'autres"": 'dotR', 'émoussés': 'emuse'}","si   sE-t   m§-ta-N   RE-s-tE   t-RE   vi-zi-te   se   Ro-Se   e-tE   t-RE   e-mu-se   ,check the cv for: {'si': 'si', 'ses': 'se', 'étaient': 'etE', 'émoussés': 'emuse'}"
8,"Au concert de rock, la musique était extrêmement forte.","Dans le vieux port, la brise était encore plus forte.",forte,45,"16, except ['extrêmement'], check the cv for: {'de': 1, 'rock': 2, 'la': 1, 'musique': 3, 'était': 2, 'forte': 3}",9,42,"20, check the cv for: {'le': 1, 'vieux': 2, 'la': 1, 'brise': 3, 'était': 2, 'plus': 2, 'forte': 3}",10,3,-1,"o   k§-sE-R   d2   RO-k   la   my-zi-k   e-tE   fO-R-t   ,except ['extrêmement'], check the phon for: {'de': 'd2', 'rock': 'ROk', 'la': 'la', 'musique': 'myzik', 'était': 'etE', 'forte': 'fORt'}","d@   l2   v-j2   pO-R   la   b-Ri-z   e-tE   @-kO-R   p-ly   fO-R-t   ,check the cv for: {'le': 'l2', 'vieux': 'vj2', 'la': 'la', 'brise': 'bRiz', 'était': 'etE', 'plus': 'ply', 'forte': 'fORt'}"
9,"Pour fêter sa promotion, les amis de Maya lui ont organisé une fête.","Depuis la rue, les enfants pouvaient entendre le bruit de la fête.",fête,54,"28, check the cv for: {'pour': 2, 'sa': 1, 'les': 1, 'amis': 2, 'de': 1, 'maya': 2, 'lui': 2, 'ont': 1, 'organisé': 5, 'une': 2, 'fête': 2}",13,53,"19, except ['depuis'], check the cv for: {'la': 1, 'rue': 1, 'les': 1, 'le': 1, 'bruit': 3, 'de': 1, 'fête': 2}",12,1,1,"pu-R   fe-te   sa   p-Ro-mo-s-j§   le   a-mi   d2   ma-ja   l-8i   §   O-R-ga-ni-ze   y-n   fE-t   ,check the cv for: {'pour': 'puR', 'sa': 'sa', 'les': 'le', 'amis': 'ami', 'de': 'd2', 'maya': 'maja', 'lui': 'l8i', 'ont': '§', 'organisé': 'ORganize', 'une': 'yn', 'fête': 'fEt'}","la   Ry   le   @-f@   pu-vE   @-t@-d-R   l2   b-R-8i   d2   la   fE-t   ,except ['depuis'], check the phon for: {'la': 'la', 'rue': 'Ry', 'les': 'le', 'le': 'l2', 'bruit': 'bR8i', 'de': 'd2', 'fête': 'fEt'}"
